
// 空情報
S,211,15,0,1

// 山情報1
0,1,1,0,13
0,1,1,1,12
2,1,1,2,11
1,1,1,3,12
1,1,1,4,13
3,1,1,1,13
4,1,1,2,13
3,1,1,3,13
5,1,1,2,12

// 山情報2
0,1,1,16,13
2,1,1,17,12
1,1,1,18,13
5,1,1,17,13

// 山情報3
0,1,1,48,13
0,1,1,49,12
2,1,1,50,11
1,1,1,51,12
1,1,1,52,13
3,1,1,49,13
4,1,1,50,13
3,1,1,51,13
5,1,1,50,12

// 山情報4
0,1,1,64,13
2,1,1,65,12
1,1,1,66,13
5,1,1,65,13

// 山情報5
0,1,1,96,13
0,1,1,97,12
2,1,1,98,11
1,1,1,99,12
1,1,1,100,13
3,1,1,97,13
4,1,1,98,13
3,1,1,99,13
5,1,1,98,12

// 山情報6
0,1,1,112,13
2,1,1,113,12
1,1,1,114,13
5,1,1,113,13

// 山情報7
0,1,1,144,13
0,1,1,145,12
2,1,1,146,11
1,1,1,147,12
1,1,1,148,13
3,1,1,145,13
4,1,1,146,13
3,1,1,147,13
5,1,1,146,12

// 山情報8
0,1,1,160,13
2,1,1,161,12
1,1,1,162,13
5,1,1,161,13

// 山情報9
0,1,1,192,13
0,1,1,193,12
2,1,1,194,11
1,1,1,195,12
1,1,1,196,13
3,1,1,193,13
4,1,1,194,13
3,1,1,195,13
5,1,1,194,12

// 山情報10
0,1,1,208,13
2,1,1,209,12
1,1,1,210,13
5,1,1,209,13

// 草情報1
6,1,1,11,13
7,1,1,12,13
7,1,1,13,13
7,1,1,14,13
8,1,1,15,13

// 草情報2
6,1,1,23,13
7,1,1,24,13
8,1,1,25,13

// 草情報3
6,1,1,41,13
7,1,1,42,13
7,1,1,43,13
8,1,1,44,13

// 草情報4
6,1,1,59,13
7,1,1,60,13
7,1,1,61,13
7,1,1,62,13
8,1,1,63,13

// 草情報5
6,1,1,71,13
7,1,1,72,13
8,1,1,73,13

// 草情報6
6,1,1,89,13
7,1,1,90,13
7,1,1,91,13
8,1,1,92,13

// 草情報7
6,1,1,107,13
7,1,1,108,13
7,1,1,109,13
7,1,1,110,13
8,1,1,111,13

// 草情報8
6,1,1,119,13
7,1,1,120,13
8,1,1,121,13

// 草情報9
6,1,1,137,13
7,1,1,138,13
7,1,1,139,13
8,1,1,140,13

// 草情報10
6,1,1,157,13
7,1,1,158,13
8,1,1,159,13

// 草情報11
6,1,1,167,13
7,1,1,168,13
8,1,1,169,13

// 草情報12
6,1,1,205,13
7,1,1,206,13
8,1,1,207,13

// 雲情報1
a,1,1,9,5
b,1,1,10,5
c,1,1,11,5
d,1,1,9,4
e,1,1,10,4
f,1,1,11,4

// 雲情報2
a,1,1,19,4
b,1,1,20,4
c,1,1,21,4
d,1,1,19,3
e,1,1,20,3
f,1,1,21,3

// 雲情報3
a,1,1,27,5
b,1,1,28,5
b,1,1,29,5
b,1,1,30,5
c,1,1,31,5
d,1,1,27,4
e,1,1,28,4
e,1,1,29,4
e,1,1,30,4
f,1,1,31,4

// 雲情報4
a,1,1,36,4
b,1,1,37,4
b,1,1,38,4
c,1,1,39,4
d,1,1,36,3
e,1,1,37,3
e,1,1,38,3
f,1,1,39,3

// 雲情報5
a,1,1,56,5
b,1,1,57,5
c,1,1,58,5
d,1,1,56,4
e,1,1,57,4
f,1,1,58,4

// 雲情報6
a,1,1,67,4
b,1,1,68,4
c,1,1,69,4
d,1,1,67,3
e,1,1,68,3
f,1,1,69,3

// 雲情報7
a,1,1,74,5
b,1,1,75,5
b,1,1,76,5
b,1,1,77,5
c,1,1,78,5
d,1,1,74,4
e,1,1,75,4
e,1,1,76,4
e,1,1,77,4
f,1,1,78,4

// 雲情報8
a,1,1,83,4
b,1,1,84,4
b,1,1,85,4
c,1,1,86,4
d,1,1,83,3
e,1,1,84,3
e,1,1,85,3
f,1,1,86,3

// 雲情報9
a,1,1,104,5
b,1,1,105,5
c,1,1,106,5
d,1,1,104,4
e,1,1,105,4
f,1,1,106,4

// 雲情報10
a,1,1,115,4
b,1,1,116,4
c,1,1,117,4
d,1,1,115,3
e,1,1,116,3
f,1,1,117,3

// 雲情報11
a,1,1,123,5
b,1,1,124,5
b,1,1,125,5
b,1,1,126,5
c,1,1,127,5
d,1,1,123,4
e,1,1,124,4
e,1,1,125,4
e,1,1,126,4
f,1,1,127,4

// 雲情報12
a,1,1,132,4
b,1,1,133,4
b,1,1,134,4
c,1,1,135,4
d,1,1,132,3
e,1,1,133,3
e,1,1,134,3
f,1,1,135,3

// 雲情報13
a,1,1,152,5
b,1,1,153,5
c,1,1,154,5
d,1,1,152,4
e,1,1,153,4
f,1,1,154,4

// 雲情報14
a,1,1,163,4
b,1,1,164,4
c,1,1,165,4
d,1,1,163,3
e,1,1,164,3
f,1,1,165,3

// 雲情報15
a,1,1,171,5
b,1,1,172,5
b,1,1,173,5
b,1,1,174,5
c,1,1,175,5
d,1,1,171,4
e,1,1,172,4
e,1,1,173,4
e,1,1,174,4
f,1,1,175,4

// 雲情報16
a,1,1,180,4
b,1,1,181,4
b,1,1,182,4
c,1,1,183,4
d,1,1,180,3
e,1,1,181,3
e,1,1,182,3
f,1,1,183,3

// 雲情報17
a,1,1,202,5
b,1,1,203,5
c,1,1,204,5
d,1,1,202,4
e,1,1,203,4
f,1,1,204,4

// オブジェクト情報
G,69,2,0,14
G,15,2,71,14
G,64,2,89,14
G,56,2,155,14
P,1,1,5,13
K,1,1,21,13
K,1,1,43,13
K,1,1,51,13
K,1,1,52,13
K,1,1,79,13
K,1,1,81,13
K,1,1,97,13
K,1,1,98,13
K,1,1,112,13
K,1,1,113,13
K,1,1,124,13
K,1,1,125,13
H,1,1,17,10
B,1,1,21,10
H,1,1,22,10
B,1,1,23,10
H,1,1,24,10
B,1,1,25,10
H,1,1,23,6

B,1,1,78,10
H,1,1,79,10
B,1,1,80,10

B,1,1,81,6
B,1,1,82,6
B,1,1,83,6
B,1,1,84,6
B,1,1,85,6
B,1,1,86,6
B,1,1,87,6
B,1,1,88,6

B,1,1,92,6
B,1,1,93,6
B,1,1,94,6
H,1,1,95,6
B,1,1,95,10

B,1,1,101,10
B,1,1,102,10

H,1,1,107,10

H,1,1,110,10
H,1,1,110,6

H,1,1,113,10

B,1,1,119,10

B,1,1,122,6
B,1,1,123,6
B,1,1,124,6

B,1,1,129,6
H,1,1,130,6
H,1,1,131,6
B,1,1,132,6
B,1,1,130,10
B,1,1,131,10

I,1,1,135,13
I,1,1,136,12
I,1,1,137,11
I,1,1,138,10

B,1,1,132,6
B,1,1,130,10
B,1,1,131,10

B,1,1,169,10
B,1,1,170,10
H,1,1,171,10
B,1,1,172,10
